,State/UT,Electric,Non-electric,No. of Operational PCS
0,andaman and nicobar,190,161258,3
1,andhra pradesh,67905,16553509,222
2,arunachal pradesh,28,303673,9
3,assam,120423,5312457,48
4,bihar,161060,11631081,83
5,chandigarh,7964,841172,6
6,chhattisgarh,54848,7413951,46
7,delhi,233212,13994966,1845
8,goa,12615,1206476,44
9,gujarat,138410,22804558,195
10,haryana,69271,12062205,232
11,himachal pradesh,2410,2178827,27
12,jammu and kashmir,10896,2055765,24
13,jharkhand,36759,7057289,60
14,karnataka,248747,29785247,704
15,kerala,98332,16781110,192
16,madhya pradesh,96151,19616269,174
17,maharashtra,305006,34323748,660
18,manipur,1203,554994,16
19,meghalaya,139,519714,19
20,nagaland,62,418529,6
21,odisha,62567,10638175,117
22,puducherry,4588,1330320,4
23,punjab,35727,13196875,126
24,rajasthan,180670,18857703,254
25,sikkim,20,109988,1
26,tamil nadu,173152,31618002,441
27,tripura,14839,707543,18
28,dadra and nagar haveli and daman and diu,354,374489,1
29,uttar pradesh,574967,43852548,406
30,uttarakhand,49491,3647377,48
31,west bengal,68376,15227219,189
